Number,ID,Code,Label_Metabarcoding,Locality,key,Municipality,State,Natural_Protected_Area,Key,Latitude,Longitude,Samplig_Altitude,Treatment,Key,Season,forest_type
30,108,108ACON21,CON_NTO_AAB_108ACON21,Agua Bendita,AAB,Amanalco,Estado de México,Nevado de Toluca,NTO,19.223694,-99.921667,3136,Under conservation ,CON,Rainy,Abies religiosa
31,109,109ACON22,CON_NTO_AAB_109ACON22,Agua Bendita,AAB,Amanalco,Estado de México,Nevado de Toluca,NTO,19.224500,-99.922722,3116,Under conservation ,CON,Rainy,Abies religiosa
32,110,110ACON23,CON_NTO_AAB_110ACON23,Agua Bendita,AAB,Amanalco,Estado de México,Nevado de Toluca,NTO,19.224778,-99.923083,3109,Under conservation ,CON,Rainy,Abies religiosa
33,111,111ACON24,CON_NTO_AAB_111ACON24,Agua Bendita,AAB,Amanalco,Estado de México,Nevado de Toluca,NTO,19.225111,-99.923556,3101,Under conservation ,CON,Rainy,Abies religiosa
34,120,120ACON10,CON_NTO_AAB_120ACON10,Agua Bendita,AAB,Amanalco,Estado de México,Nevado de Toluca,NTO,19.228137,-99.932371,3046,Under conservation ,CON,Rainy,Abies religiosa
35,121,121ACON11,CON_NTO_AAB_121ACON11,Agua Bendita,AAB,Amanalco,Estado de México,Nevado de Toluca,NTO,19.228139,-99.932861,3046,Under conservation ,CON,Rainy,Abies religiosa
36,122,122ACON12,CON_NTO_AAB_122ACON12,Agua Bendita,AAB,Amanalco,Estado de México,Nevado de Toluca,NTO,19.228028,-99.933250,3040,Under conservation ,CON,Rainy,Abies religiosa
37,123,123ACON13,CON_NTO_AAB_123ACON13,Agua Bendita,AAB,Amanalco,Estado de México,Nevado de Toluca,NTO,19.228222,-99.933750,3046,Under conservation ,CON,Rainy,Abies religiosa
38,124,124ACON14,CON_NTO_AAB_124ACON14,Agua Bendita,AAB,Amanalco,Estado de México,Nevado de Toluca,NTO,19.228306,-99.934111,3049,Under conservation ,CON,Rainy,Abies religiosa
39,125,125ACON15,CON_NTO_AAB_125ACON15,Agua Bendita,AAB,Amanalco,Estado de México,Nevado de Toluca,NTO,19.228472,-99.934500,3057,Under conservation ,CON,Rainy,Abies religiosa
40,126,126ACON16,CON_NTO_AAB_126ACON16,Agua Bendita,AAB,Amanalco,Estado de México,Nevado de Toluca,NTO,19.228361,-99.935056,3052,Under conservation ,CON,Rainy,Abies religiosa
41,127,127ACON17,CON_NTO_AAB_127ACON17,Agua Bendita,AAB,Amanalco,Estado de México,Nevado de Toluca,NTO,19.228389,-99.935306,3054,Under conservation ,CON,Rainy,Abies religiosa
42,128,128ACON18,CON_NTO_AAB_128ACON18,Agua Bendita,AAB,Amanalco,Estado de México,Nevado de Toluca,NTO,19.228306,-99.935694,3051,Under conservation ,CON,Rainy,Abies religiosa
