"sp" "spn" "depth" "taxa" "ntip"
"species" 44 0.00119414859244145 "Zotu109_P3_G02_82ACON4_S506_N7111" 2
"species" 161 0.00179492567238772 "Zotu191_P1_B06_71SHCON2_S508_N70312" 3
"species" 161 0.00179492567238772 "Zotu52_P1_B08_17IZPOC2_S517_N7041" 3
"species" 161 0.00179492567238772 "Zotu103_P2_C01_18IZTAC3_S503_N7071" 3
"species" 175 0.00119414859244145 "Zotu182_P3_E04_121ACON11_S505_N7121" 2
"species" 175 0.00119414859244145 "Zotu137_P1_H08_70SHCON1_S504_N7051" 2
"species" 160 0.00119414859244145 "Zotu55_P1_B08_17IZPOC2_S517_N70411" 2
"species" 160 0.00119414859244145 "Zotu117_P3_G02_82ACON4_S506_N7111" 2
"species" 104 0.00119414859244145 "Zotu18_P1_D08_34TCONS4_S502_N7053" 2
"species" 104 0.00119414859244145 "Zotu109_P1_E02_21MMC3_S517_N7011" 2
"species" 139 0.00421307706118208 "Zotu158_P1_A01_32TCONS2_S502_N7011" 3
"species" 139 0.00421307706118208 "Zotu193_P1_G02_20MMC2_S502_N7021" 3
"species" 139 0.00421307706118208 "Zotu66_P3_A06_128ACON18_S503_N7011" 3
"species" 90 0.00723498542712319 "Zotu26_P3_E04_121ACON11_S505_N7121" 2
"species" 90 0.00723498542712319 "Zotu176_P3_E04_121ACON11_S505_N7121" 2
"species" 112 0.00238979429214894 "Zotu12_P1_B08_17IZPOC2_S517_N7044" 2
"species" 112 0.00238979429214894 "Zotu25_P1_D05_13SHC4C1_S505_N7033" 2
"species" 63 0.00723498542712319 "Zotu241_P1_D05_13SHC4C1_S505_N7034" 2
"species" 63 0.00723498542712319 "Zotu150_P1_D05_13SHC4C1_S505_N7031" 2
"species" 73 0.00179492567238772 "Zotu263_P3_C05_110ACON23_S508_N7123" 3
"species" 73 0.00179492567238772 "Zotu79_P4_E06_120ACON10_S508_N7051" 3
"species" 73 0.00179492567238772 "Zotu73_P3_C03_125ACON15_S508_N7111" 3
"species" 165 0.0036047549050908 "Zotu291_P3_A01_85ACON7_S507_N7101" 3
"species" 165 0.0036047549050908 "Zotu245_P3_A01_85ACON7_S507_N7101" 3
"species" 165 0.0036047549050908 "Zotu246_P3_A01_85ACON7_S507_N7101" 3
"species" 89 0.0060258414712043 "Zotu29_P3_H03G04_123ACON13_S506_N7122" 2
"species" 89 0.0060258414712043 "Zotu121_P4_E06_120ACON10_S508_N7051" 2
"species" 22 0.00662754974463785 "Zotu136_P3_G02_82ACON4_S506_N7113" 3
