"sp" "spn" "depth" "taxa" "ntip"
"species" 176 0.0041962349210112 "Zotu100_P1_B06_71SHCON2_S508_N703;size=6" 3
"species" 176 0.0041962349210112 "Zotu39_P3_A01_85ACON7_S507_N710;size=3" 3
"species" 176 0.0041962349210112 "Zotu63_P2_C01_18IZTAC3_S503_N707;size=1" 3
"species" 177 0.00787135947486867 "Zotu5_P1_B08_17IZPOC2_S517_N704;size=4" 3
"species" 177 0.00787135947486867 "Zotu199_P1_H01_75SHCON6_S506_N701;size=1" 3
"species" 177 0.00787135947486867 "Zotu117_P2_A01_16IZPOC1_S502_N707;size=1" 3
"species" 133 0.00848148051585797 "Zotu31_P1_A03_38TCONS8_S503_N702;size=13" 13
"species" 133 0.00848148051585797 "Zotu77_P1_A03_38TCONS8_S503_N702;size=2" 13
"species" 133 0.00848148051585797 "Zotu126_P1_B06_71SHCON2_S508_N703;size=1" 13
"species" 133 0.00848148051585797 "Zotu96_P3_A02_39TCONSER9_S503_N711;size=1" 13
"species" 133 0.00848148051585797 "Zotu118_P1_A01_32TCONS2_S502_N701;size=2" 13
"species" 133 0.00848148051585797 "Zotu210_P1_E02_21MMC3_S517_N701;size=1" 13
"species" 133 0.00848148051585797 "Zotu126_P1_G02_20MMC2_S502_N702;size=1" 13
"species" 133 0.00848148051585797 "Zotu147_P1_B06_71SHCON2_S508_N703;size=2" 13
"species" 133 0.00848148051585797 "Zotu149_P1_D07_35TCONS5_S506_N704;size=3" 13
"species" 133 0.00848148051585797 "Zotu189_P2_A01_16IZPOC1_S502_N707;size=1" 13
"species" 133 0.00848148051585797 "Zotu61_P1_B08_17IZPOC2_S517_N704;size=1" 13
"species" 133 0.00848148051585797 "Zotu62_P1_G02_20MMC2_S502_N702;size=1" 13
"species" 133 0.00848148051585797 "Zotu166_P2_E02_77SHCON8_S508_N707;size=1" 13
"species" 157 0.00542098016028088 "Zotu82_P1_B08_17IZPOC2_S517_N704;size=1" 5
"species" 157 0.00542098016028088 "Zotu100_P2_A01_16IZPOC1_S502_N707;size=1" 5
"species" 157 0.00542098016028088 "Zotu145_P2_A01_16IZPOC1_S502_N707;size=1" 5
"species" 157 0.00542098016028088 "Zotu102_P2_C01_18IZTAC3_S503_N707;size=1" 5
"species" 157 0.00542098016028088 "Zotu182_P2_A01_16IZPOC1_S502_N707;size=1" 5
"species" 180 0.00179342355578274 "Zotu139_P1_B06_71SHCON2_S508_N703;size=10" 3
"species" 180 0.00179342355578274 "Zotu245_P3_A02_39TCONSER9_S503_N711;size=1" 3
"species" 180 0.00179342355578274 "Zotu208_P2_A01_16IZPOC1_S502_N707;size=1" 3
"species" 190 0.00119355138485481 "Zotu221_P1_B08_17IZPOC2_S517_N704;size=2" 2
"species" 190 0.00119355138485481 "Zotu334_P3_A05_107ACON20_S507_N712;size=1" 2
"species" 163 0.00542098016028088 "Zotu249_P1_D07_35TCONS5_S506_N704;size=1" 3
"species" 163 0.00542098016028088 "Zotu416_P3_G06_108ACON21_S506_N701;size=1" 3
"species" 163 0.00542098016028088 "Zotu181_P2_C01_18IZTAC3_S503_N707;size=1" 3
"species" 149 0.00603033761540342 "Zotu182_P1_D08_34TCONS4_S502_N705;size=3" 2
"species" 149 0.00603033761540342 "Zotu65_P1_H09_37TCONS7_S508_N705;size=1" 2
"species" 109 0.0109578608958635 "Zotu137_P1_D06_74SHCON5_S517_N703;size=5" 12
"species" 109 0.0109578608958635 "Zotu211_P3_A05_107ACON20_S507_N712;size=1" 12
"species" 109 0.0109578608958635 "Zotu225_P2_G02_14SHCN5C2_S517_N707;size=1" 12
