,CON_NTO_TLC_31TCONS1,CON_NTO_TLC_32TCONS2,CON_NTO_TLC_33TCONS3,CON_NTO_TLC_34TCONS4,CON_NTO_TLC_35TCONS5,CON_NTO_TLC_36TCONS6,CON_NTO_TLC_37TCONS7,CON_NTO_TLC_38TCONS8,CON_NTO_TLC_39TCONS9,CON_NTO_SJH_70SHCON1,CON_NTO_SJH_71SHCON2,CON_NTO_SJH_72SHCON3,CON_NTO_SJH_73SHCON4,CON_NTO_SJH_74SHCON5,CON_NTO_SJH_75SHCON6,CON_NTO_SJH_76SHCON7,CON_NTO_SJH_77SHCON8,CON_NTO_SJH_78SHCON9,CON_NTO_ASB_79ACON1,CON_NTO_ASB_80ACON2,CON_NTO_ASB_81ACON3,CON_NTO_ASB_82ACON4,CON_NTO_ASB_83ACON5,CON_NTO_ASB_84ACON6,CON_NTO_ASB_85ACON7,CON_NTO_ASB_86ACON8,CON_NTO_ASB_87ACON9,CON_NTO_AAB_106ACON19,CON_NTO_AAB_107ACON20,CON_NTO_AAB_108ACON21,CON_NTO_AAB_109ACON22,CON_NTO_AAB_110ACON23,CON_NTO_AAB_111ACON24,CON_NTO_AAB_120ACON10,CON_NTO_AAB_121ACON11,CON_NTO_AAB_122ACON12,CON_NTO_AAB_123ACON13,CON_NTO_AAB_124ACON14,CON_NTO_AAB_125ACON15,CON_NTO_AAB_126ACON16,CON_NTO_AAB_127ACON17,CON_NTO_AAB_128ACON18
CON_NTO_SJH_71SHCON2,1.120589888,1.123185595,1.122829859,1.12439031,1.125679545,1.127242946,1.124270734,1.123378142,1.126848263,0.5389766689,0,0.5095235036,0.8246008086,0.8093477343,0.7900742268,0.7388796564,0.7284137624,0.7122128801,1.505700304,1.512139185,1.517455965,1.521669386,1.53395648,1.545988776,1.569656827,1.567711165,1.565415423,1.397329102,1.399846603,1.401910424,1.406781833,1.408613904,1.410945072,1.479523401,1.484600581,1.489306281,1.494177346,1.49659364,1.500405653,1.507142639,1.509193612,1.514023451
CON_NTO_SJH_72SHCON3,1.120165908,1.122799545,1.122463056,1.124097263,1.125390352,1.126935337,1.12398746,1.123114379,1.12660755,0.6110759337,0.5095235036,0,0.8122729913,0.7955136799,0.7738796564,0.7267826566,0.7177406438,0.6957534694,1.506099347,1.51253727,1.517852245,1.522065843,1.534351672,1.546383321,1.570050963,1.56810382,1.565807145,1.397870942,1.40038988,1.402455769,1.407330142,1.409163334,1.411496025,1.480081827,1.485158509,1.489863492,1.494734421,1.497150615,1.500962507,1.507698336,1.509749002,1.514577938
CON_NTO_SJH_73SHCON4,1.122495114,1.125432549,1.125292393,1.127597788,1.128896429,1.130227707,1.127584147,1.126918349,1.130546626,0.8351259153,0.8246008086,0.8122729913,0,0.533107925,0.6303790062,0.8178114751,0.8228157503,0.8117938104,1.506865941,1.513296574,1.518596257,1.522812228,1.535088559,1.547115802,1.570781531,1.568821215,1.566516159,1.399924364,1.402458772,1.404545767,1.409451535,1.41129654,1.413645132,1.482330443,1.487404038,1.492103568,1.49697512,1.499391303,1.503203589,1.509930499,1.511978917,1.516800695
CON_NTO_SJH_74SHCON5,1.122457213,1.12535819,1.125194833,1.127420468,1.128718209,1.130074495,1.127395468,1.126705312,1.130316936,0.8209772035,0.8093477343,0.7955136799,0.533107925,0,0.5464292797,0.8056117505,0.8105481335,0.7979035832,1.506421479,1.512853263,1.518155085,1.522370861,1.534648711,1.546676738,1.570342974,1.568384405,1.566080449,1.399312417,1.401845225,1.403929879,1.408832326,1.410676073,1.413022953,1.481700449,1.486774662,1.491475055,1.496346812,1.498763136,1.502575603,1.509303899,1.511352689,1.516175544
CON_NTO_SJH_75SHCON6,1.121819767,1.124686328,1.124497711,1.126641476,1.12794036,1.129325582,1.126604296,1.125887013,1.129486715,0.8036904717,0.7900742268,0.7738796564,0.6303790062,0.5464292797,0,0.7886583127,0.7936366363,0.7787021521,1.506444395,1.512877052,1.518180791,1.522396226,1.534675207,1.546703733,1.570370131,1.568413244,1.566110362,1.399170386,1.401701105,1.403782949,1.408681176,1.410523336,1.412868086,1.481531449,1.486605995,1.491307042,1.496178639,1.498594925,1.502407276,1.509136648,1.511185703,1.51600943
CON_NTO_SJH_76SHCON7,1.109655736,1.112428905,1.112109759,1.113912254,1.115251719,1.116813561,1.113815457,1.1129487,1.116589345,0.7635707802,0.7388796564,0.7267826566,0.8178114751,0.8056117505,0.7886583127,0,0.4545926674,0.5222006345,1.514088315,1.520519548,1.525825739,1.530038051,1.542314755,1.554340629,1.578002519,1.576049679,1.573749605,1.40636036,1.408877683,1.410944303,1.415816753,1.417649386,1.419981667,1.48851027,1.493581664,1.498281595,1.503147353,1.505560905,1.509368569,1.516096604,1.518144885,1.522968231
CON_NTO_SJH_77SHCON8,1.110116687,1.112861323,1.112528779,1.114278037,1.11561403,1.117188033,1.114174369,1.113294253,1.116916613,0.7541410202,0.7284137624,0.7177406438,0.8228157503,0.8105481335,0.7936366363,0.4545926674,0,0.5095235232,1.513668825,1.520100778,1.525408212,1.529620466,1.54189813,1.553924527,1.57758681,1.575634947,1.573335482,1.405848233,1.408364812,1.410430276,1.415301152,1.417133184,1.419464641,1.487990767,1.493062586,1.497763056,1.502629036,1.505042719,1.508850572,1.515579465,1.517627984,1.522451986
CON_NTO_SJH_78SHCON9,1.111964449,1.114711078,1.114391136,1.11616639,1.117495534,1.119050246,1.116068179,1.115203241,1.118812903,0.7424667292,0.7122128801,0.6957534694,0.8117938104,0.7979035832,0.7787021521,0.5222006345,0.5095235232,0,1.512375545,1.518808086,1.524115904,1.528328527,1.540607022,1.552634054,1.576297137,1.574345302,1.572045818,1.404561359,1.407079262,1.409146051,1.414019391,1.415852324,1.418184936,1.486727198,1.491799666,1.496500585,1.501367449,1.503781561,1.507590129,1.51431968,1.516368433,1.521192854
CON_NTO_ASB_79ACON1,1.633237804,1.635284069,1.635143211,1.636634871,1.637576877,1.638608115,1.636595777,1.636046297,1.638642672,1.50425834,1.505700304,1.506099347,1.506865941,1.506421479,1.506444395,1.514088315,1.513668825,1.512375545,0,0.4585519401,0.5323093327,0.5691152001,0.6365453514,0.6764421207,0.7260559006,0.7219660552,0.7183483842,1.093807105,1.097653095,1.102448822,1.111059733,1.114462261,1.119058744,1.210901504,1.216431508,1.221072473,1.22722901,1.230244865,1.235119932,1.241813147,1.243963499,1.248636554
CON_NTO_ASB_80ACON2,1.639612863,1.641659585,1.641519307,1.643012623,1.643954499,1.644984958,1.64297381,1.642425005,1.645021398,1.510698907,1.512139185,1.51253727,1.513296574,1.512853263,1.512877052,1.520519548,1.520100778,1.518808086,0.4585519401,0,0.4401160543,0.4937188197,0.5944240629,0.6446115345,0.7013766996,0.6967036738,0.6928896547,1.100497812,1.104308482,1.10907148,1.117620664,1.121001446,1.125570981,1.216988068,1.222495503,1.227117535,1.233248795,1.236252268,1.241107477,1.24777297,1.24991451,1.254568492
