,CON_NTO_TLC_31TCONS1,CON_NTO_TLC_32TCONS2,CON_NTO_TLC_33TCONS3,CON_NTO_TLC_34TCONS4,CON_NTO_TLC_35TCONS5,CON_NTO_TLC_36TCONS6,CON_NTO_TLC_37TCONS7,CON_NTO_TLC_38TCONS8,CON_NTO_TLC_39TCONS9,CON_NTO_SJH_70SHCON1,CON_NTO_SJH_71SHCON2,CON_NTO_SJH_72SHCON3,CON_NTO_SJH_73SHCON4,CON_NTO_SJH_74SHCON5,CON_NTO_SJH_75SHCON6,CON_NTO_SJH_76SHCON7,CON_NTO_SJH_77SHCON8,CON_NTO_SJH_78SHCON9,CON_NTO_ASB_79ACON1,CON_NTO_ASB_80ACON2,CON_NTO_ASB_81ACON3,CON_NTO_ASB_82ACON4,CON_NTO_ASB_83ACON5,CON_NTO_ASB_84ACON6,CON_NTO_ASB_85ACON7,CON_NTO_ASB_86ACON8,CON_NTO_ASB_87ACON9,CON_NTO_AAB_106ACON19,CON_NTO_AAB_107ACON20,CON_NTO_AAB_108ACON21,CON_NTO_AAB_109ACON22,CON_NTO_AAB_110ACON23,CON_NTO_AAB_111ACON24,CON_NTO_AAB_120ACON10,CON_NTO_AAB_121ACON11,CON_NTO_AAB_122ACON12,CON_NTO_AAB_123ACON13,CON_NTO_AAB_124ACON14,CON_NTO_AAB_125ACON15,CON_NTO_AAB_126ACON16,CON_NTO_AAB_127ACON17,CON_NTO_AAB_128ACON18
CON_NTO_SJH_71SHCON2,1.102846878,1.104873437,1.104425377,1.105102187,1.106335749,1.1074313,1.105170471,1.104347971,1.106993226,0.5389718,0,0.5331053005,0.8262234972,0.8112198277,0.7909841964,0.7360264647,0.725092674,0.7121420631,1.253867719,1.254557911,1.254796684,1.255349834,1.256350651,1.257041881,1.258425548,1.257973503,1.257730784,1.256126852,1.257476041,1.258655232,1.261277391,1.262214096,1.263328173,1.2829397,1.283842257,1.284478008,1.285558848,1.286372781,1.287276758,1.288192938,1.288829064,1.289471612
CON_NTO_SJH_72SHCON3,1.102864459,1.104932838,1.104510432,1.105268792,1.106511785,1.10758695,1.105352266,1.104551361,1.107225284,0.619629177,0.5331053005,0,0.8112195947,0.7943334158,0.7711191518,0.7243475955,0.7155943484,0.6969551736,1.253609597,1.25429957,1.254535875,1.255089654,1.256089381,1.256780408,1.258163674,1.257709421,1.257465207,1.256069671,1.25742006,1.258600727,1.261226184,1.26216386,1.263278593,1.282885609,1.283786858,1.284420945,1.285501755,1.286315291,1.287219493,1.288132938,1.288768935,1.289409888
CON_NTO_SJH_73SHCON4,1.106175226,1.108520312,1.108307291,1.10967567,1.110961597,1.111855753,1.109873249,1.109255774,1.112084778,0.836609293,0.8262234972,0.8112195947,0,0.53310542,0.6353062806,0.8172285286,0.8223782242,0.8131189068,1.250552208,1.251241175,1.251457918,1.252017348,1.253009392,1.253699524,1.255081015,1.25460857,1.254352118,1.254637257,1.25599842,1.257191944,1.259846079,1.260792291,1.261913127,1.281495325,1.282386447,1.283007393,1.284088495,1.284899223,1.285805686,1.286697438,1.287332693,1.287961045
CON_NTO_SJH_74SHCON5,1.105941002,1.108252409,1.108014415,1.109309584,1.110589944,1.111505367,1.109493498,1.108854397,1.11166391,0.8226986638,0.8112198277,0.7943334158,0.53310542,0,0.5541574388,0.8047586157,0.8098900058,0.799280993,1.250750091,1.251439454,1.251658835,1.25221774,1.253211161,1.253901666,1.255283892,1.254813654,1.254558709,1.254628717,1.255988978,1.257181274,1.259832642,1.26077807,1.261898473,1.281488651,1.28238123,1.283003954,1.284085237,1.284896478,1.285802833,1.286697484,1.287332952,1.287963008
CON_NTO_SJH_75SHCON6,1.105515805,1.107789169,1.107521882,1.108732355,1.110007039,1.110947878,1.108900433,1.108235668,1.111024253,0.8042484452,0.7909841964,0.7711191518,0.6353062806,0.5541574388,0,0.7885529544,0.793526956,0.7809477887,1.251097086,1.251786745,1.252009074,1.252567258,1.253562025,1.254252804,1.255635572,1.25516794,1.25491476,1.254737879,1.256096829,1.257287476,1.259935148,1.260879499,1.261999205,1.281595766,1.282489922,1.283114631,1.284195994,1.285007735,1.285913861,1.286811766,1.287447411,1.288079368
CON_NTO_SJH_76SHCON7,1.094599254,1.096828912,1.096423948,1.097349878,1.098668678,1.099760562,1.097463325,1.096661312,1.099515336,0.7613038312,0.7360264647,0.7243475955,0.8172285286,0.8047586157,0.7885529544,0,0.4545916928,0.5036311196,1.257812903,1.258496933,1.258724914,1.259276095,1.260265344,1.260950649,1.262322637,1.26186583,1.261619432,1.260702723,1.262046471,1.263222279,1.265837492,1.266771304,1.267880653,1.287381603,1.288276608,1.288904903,1.289981281,1.290790815,1.291691908,1.292596528,1.293229851,1.293865276
CON_NTO_SJH_77SHCON8,1.094880109,1.097081663,1.096662195,1.09753837,1.098849639,1.099952068,1.097642601,1.096828862,1.09966166,0.7515638768,0.725092674,0.7155943484,0.8223782242,0.8098900058,0.793526956,0.4545916928,0,0.4863137237,1.257774997,1.258459373,1.258688819,1.259239822,1.260229999,1.260915634,1.262288272,1.261832572,1.261586942,1.260555907,1.261899372,1.263074699,1.265688812,1.266622334,1.267731597,1.287238827,1.28813468,1.288763967,1.289840535,1.29065041,1.291551523,1.292457748,1.293091236,1.293727613
CON_NTO_SJH_78SHCON9,1.096197257,1.098395829,1.097987965,1.098882391,1.100186364,1.101274511,1.09899021,1.098188852,1.101007791,0.7423548208,0.7121420631,0.6969551736,0.8131189068,0.799280993,0.7809477887,0.5036311196,0.4863137237,0,1.25700912,1.25769425,1.257923697,1.258475383,1.259466546,1.26015291,1.261526986,1.261070579,1.260824535,1.259825749,1.261170765,1.262347519,1.264964731,1.265899289,1.267009656,1.286530109,1.287426231,1.288055547,1.289132745,1.289943009,1.290844685,1.291750856,1.29238467,1.293021071
CON_NTO_ASB_79ACON1,1.328728237,1.330070407,1.330030451,1.330930497,1.331631199,1.332071586,1.331061176,1.330765606,1.332314264,1.253347918,1.253867719,1.253609597,1.250552208,1.250750091,1.251097086,1.257812903,1.257774997,1.25700912,0,0.4545920023,0.5221977473,0.5642389095,0.6309658944,0.6611698543,0.7066939042,0.6994230018,0.6972896393,1.001718729,1.003091335,1.004657867,1.008397557,1.009673034,1.010919916,1.0302377,1.030782056,1.03078649,1.032302142,1.033258406,1.034673691,1.034612638,1.035482717,1.035635703
CON_NTO_ASB_80ACON2,1.329354941,1.33069716,1.330657664,1.331558647,1.332259194,1.332699048,1.331689515,1.331394423,1.332942886,1.254039207,1.254557911,1.25429957,1.251241175,1.251439454,1.251786745,1.258496933,1.258459373,1.25769425,0.4545920023,0,0.4399315077,0.4933056618,0.5922186577,0.6309659301,0.6858512656,0.6779090028,0.676079797,1.002293859,1.00360442,1.005118106,1.008747007,1.009985026,1.011188005,1.0298693,1.030385714,1.030365656,1.031859592,1.032797609,1.034198014,1.034101386,1.034959856,1.035090678
