"sample_names_Site0.03" "ConservationMountain1" "Conservation" "Mountain1" "Site" "ID" "Mountain1Site" "sample_richness_Site0.03"
"1" "CON_NTO_AAB_W_106ACON19" "CON_NTO" "CON" "NTO" "AAB" "W" "NTO_AAB" "22"
"2" "CON_NTO_AAB_W_107ACON20" "CON_NTO" "CON" "NTO" "AAB" "W" "NTO_AAB" "27"
"3" "CON_NTO_AAB_W_108ACON21" "CON_NTO" "CON" "NTO" "AAB" "W" "NTO_AAB" "25"
"4" "CON_NTO_AAB_W_109ACON22" "CON_NTO" "CON" "NTO" "AAB" "W" "NTO_AAB" "29"
"5" "CON_NTO_AAB_W_110ACON23" "CON_NTO" "CON" "NTO" "AAB" "W" "NTO_AAB" "28"
"6" "CON_NTO_AAB_W_111ACON24" "CON_NTO" "CON" "NTO" "AAB" "W" "NTO_AAB" "27"
"7" "CON_NTO_AAB_W_120ACON10" "CON_NTO" "CON" "NTO" "AAB" "W" "NTO_AAB" "16"
"8" "CON_NTO_AAB_W_121ACON11" "CON_NTO" "CON" "NTO" "AAB" "W" "NTO_AAB" "15"
"9" "CON_NTO_AAB_W_122ACON12" "CON_NTO" "CON" "NTO" "AAB" "W" "NTO_AAB" "10"
"10" "CON_NTO_AAB_W_123ACON13" "CON_NTO" "CON" "NTO" "AAB" "W" "NTO_AAB" "12"
"11" "CON_NTO_AAB_W_124ACON14" "CON_NTO" "CON" "NTO" "AAB" "W" "NTO_AAB" "12"
"12" "CON_NTO_AAB_W_125ACON15" "CON_NTO" "CON" "NTO" "AAB" "W" "NTO_AAB" "13"
"13" "CON_NTO_AAB_W_126ACON16" "CON_NTO" "CON" "NTO" "AAB" "W" "NTO_AAB" "25"
"14" "CON_NTO_AAB_W_127ACON17" "CON_NTO" "CON" "NTO" "AAB" "W" "NTO_AAB" "18"
"15" "CON_NTO_AAB_W_128ACON18" "CON_NTO" "CON" "NTO" "AAB" "W" "NTO_AAB" "17"
"16" "CON_NTO_ASB_W_79ACON1" "CON_NTO" "CON" "NTO" "ASB" "W" "NTO_ASB" "27"
"17" "CON_NTO_ASB_W_80ACON2" "CON_NTO" "CON" "NTO" "ASB" "W" "NTO_ASB" "28"
"18" "CON_NTO_ASB_W_81ACON3" "CON_NTO" "CON" "NTO" "ASB" "W" "NTO_ASB" "23"
"19" "CON_NTO_ASB_W_82ACON4" "CON_NTO" "CON" "NTO" "ASB" "W" "NTO_ASB" "27"
"20" "CON_NTO_ASB_W_83ACON5" "CON_NTO" "CON" "NTO" "ASB" "W" "NTO_ASB" "25"
"21" "CON_NTO_ASB_W_84ACON6" "CON_NTO" "CON" "NTO" "ASB" "W" "NTO_ASB" "28"
"22" "CON_NTO_ASB_W_85ACON7" "CON_NTO" "CON" "NTO" "ASB" "W" "NTO_ASB" "26"
"23" "CON_NTO_ASB_W_86ACON8" "CON_NTO" "CON" "NTO" "ASB" "W" "NTO_ASB" "24"
"24" "CON_NTO_ASB_W_87ACON9" "CON_NTO" "CON" "NTO" "ASB" "W" "NTO_ASB" "20"
"25" "CON_NTO_SJH_E_70SHCON1" "CON_NTO" "CON" "NTO" "SJH" "E" "NTO_SJH" "18"
"26" "CON_NTO_SJH_E_71SHCON2" "CON_NTO" "CON" "NTO" "SJH" "E" "NTO_SJH" "20"
"27" "CON_NTO_SJH_E_72SHCON3" "CON_NTO" "CON" "NTO" "SJH" "E" "NTO_SJH" "28"
"28" "CON_NTO_SJH_E_73SHCON4" "CON_NTO" "CON" "NTO" "SJH" "E" "NTO_SJH" "25"
"29" "CON_NTO_SJH_E_74SHCON5" "CON_NTO" "CON" "NTO" "SJH" "E" "NTO_SJH" "21"
"30" "CON_NTO_SJH_E_75SHCON6" "CON_NTO" "CON" "NTO" "SJH" "E" "NTO_SJH" "20"
"31" "CON_NTO_SJH_E_76SHCON7" "CON_NTO" "CON" "NTO" "SJH" "E" "NTO_SJH" "16"
"32" "CON_NTO_SJH_E_77SHCON8" "CON_NTO" "CON" "NTO" "SJH" "E" "NTO_SJH" "26"
"33" "CON_NTO_SJH_E_78SHCON9" "CON_NTO" "CON" "NTO" "SJH" "E" "NTO_SJH" "25"
"34" "CON_NTO_TLC_E_31TCONS1" "CON_NTO" "CON" "NTO" "TLC" "E" "NTO_TLC" "19"
"35" "CON_NTO_TLC_E_32TCONS2" "CON_NTO" "CON" "NTO" "TLC" "E" "NTO_TLC" "19"
"36" "CON_NTO_TLC_E_33TCONS3" "CON_NTO" "CON" "NTO" "TLC" "E" "NTO_TLC" "23"
"37" "CON_NTO_TLC_E_34TCONS4" "CON_NTO" "CON" "NTO" "TLC" "E" "NTO_TLC" "20"
"38" "CON_NTO_TLC_E_35TCONS5" "CON_NTO" "CON" "NTO" "TLC" "E" "NTO_TLC" "20"
"39" "CON_NTO_TLC_E_36TCONS6" "CON_NTO" "CON" "NTO" "TLC" "E" "NTO_TLC" "15"
"40" "CON_NTO_TLC_E_37TCONS7" "CON_NTO" "CON" "NTO" "TLC" "E" "NTO_TLC" "17"
"41" "CON_NTO_TLC_E_38TCONS8" "CON_NTO" "CON" "NTO" "TLC" "E" "NTO_TLC" "20"
"42" "CON_NTO_TLC_E_39TCONS9" "CON_NTO" "CON" "NTO" "TLC" "E" "NTO_TLC" "24"
