"h_names_Site0.05" "h_ocurrence_Site0.05"
"1" "Zotu100_P1_H01_75SHCON6_S506_N701" "40"
"2" "Zotu102_P1_B06_71SHCON2_S508_N703" "1"
"3" "Zotu102_P2_G01_87ACONS9_S505_N707" "26"
"4" "Zotu102_P3_C06_84ACON6_S504_N701" "28"
"5" "Zotu103_P1_B06_71SHCON2_S508_N703" "23"
"6" "Zotu103_P1_B08_17IZPOC2_S517_N704" "20"
"7" "Zotu104_P2_E02_77SHCON8_S508_N707" "6"
"8" "Zotu106_P1_H01_75SHCON6_S506_N701" "17"
"9" "Zotu106_P2_G01_87ACONS9_S505_N707" "12"
"10" "Zotu107_P3_A06_128ACON18_S503_N701" "5"
"11" "Zotu109_P1_H01_75SHCON6_S506_N701" "11"
"12" "Zotu110_P2_G01_87ACONS9_S505_N707" "31"
"13" "Zotu111_P1_B08_17IZPOC2_S517_N704" "8"
"14" "Zotu113_P3_C05_110ACON23_S508_N712" "5"
"15" "Zotu117_P1_E02_21MMC3_S517_N701" "4"
"16" "Zotu118_P1_F05_15SHC6C3_S506_N703" "8"
"17" "Zotu118_P1_H04_19MMC1_S503_N703" "19"
"18" "Zotu11_P1_A01_32TCONS2_S502_N701" "16"
"19" "Zotu11_P1_D07_35TCONS5_S506_N704" "39"
"20" "Zotu120_P3_A05_107ACON20_S507_N712" "25"
"21" "Zotu12_P1_D07_35TCONS5_S506_N704" "21"
"22" "Zotu138_P1_B06_71SHCON2_S508_N703" "13"
"23" "Zotu13_P1_D06_74SHCON5_S517_N703" "37"
"24" "Zotu143_P1_H06_36TCONS6_S503_N704" "1"
"25" "Zotu14_P1_B08_17IZPOC2_S517_N704" "7"
"26" "Zotu152_P3_A01_85ACON7_S507_N710" "13"
"27" "Zotu158_P3_A05_107ACON20_S507_N712" "4"
"28" "Zotu168_P3_A06_128ACON18_S503_N701" "6"
"29" "Zotu171_P3_A07_81ACON3_S507_N701" "6"
"30" "Zotu17_P4_E06_120ACON10_S508_N705" "2"
"31" "Zotu182_P1_D05_13SHC4C1_S505_N703" "5"
"32" "Zotu182_P3_A05_107ACON20_S507_N712" "5"
"33" "Zotu21_P3_C05_110ACON23_S508_N712" "15"
"34" "Zotu26_P3_A01_85ACON7_S507_N710" "8"
"35" "Zotu29_P3_C05_110ACON23_S508_N712" "7"
"36" "Zotu34_P3_E03_86ACON8_S517_N711" "1"
"37" "Zotu35_P3_C05_110ACON23_S508_N712" "13"
"38" "Zotu37_P3_C03_125ACON15_S508_N711" "11"
"39" "Zotu41_P1_A01_32TCONS2_S502_N701" "14"
"40" "Zotu41_P3_E03_86ACON8_S517_N711" "1"
"41" "Zotu48_P1_B06_71SHCON2_S508_N703" "5"
"42" "Zotu53_P1_H08_70SHCON1_S504_N705" "1"
"43" "Zotu57_P3_A01_85ACON7_S507_N710" "2"
"44" "Zotu57_P3_A06_128ACON18_S503_N701" "5"
"45" "Zotu59_P1_H01_75SHCON6_S506_N701" "4"
"46" "Zotu59_P3_A01_85ACON7_S507_N710" "11"
"47" "Zotu60_P1_D06_74SHCON5_S517_N703" "17"
"48" "Zotu61_P1_A03_38TCONS8_S503_N702" "9"
"49" "Zotu65_P3_C04_79ACON1_S504_N712" "1"
"50" "Zotu78_P4_C10_106ACON19_S508_N707" "1"
"51" "Zotu83_P4_C09_73SHCON4_S504_N707" "1"
"52" "Zotu98_P2_G01_87ACONS9_S505_N707" "8"
